City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Katsuura,JP,35.1333,140.3,57.0,47,20,6.91,few clouds
151,East London,ZA,-33.0153,27.9116,64.74,79,18,7.18,few clouds
152,Constitucion,CL,-35.3333,-72.4167,57.78,81,0,13.38,clear sky
153,Myitkyina,MM,25.3833,97.4,88.86,22,3,1.86,clear sky
154,Tahta,EG,26.7693,31.5021,73.4,31,0,4.61,clear sky
155,Ilulissat,GL,69.2167,-51.1,-0.4,71,75,11.5,broken clouds
156,Kentau,KZ,43.5206,68.5094,43.52,94,100,16.31,overcast clouds
157,Beisfjord,NO,68.3751,17.5988,42.8,81,90,25.32,overcast clouds
158,Port Hedland,AU,-20.3167,118.5667,93.2,33,3,3.44,clear sky
159,Ewa Beach,US,21.3156,-158.0072,80.6,57,40,12.66,smoke
160,Evensk,RU,61.95,159.2333,23.04,86,100,18.88,light snow
161,Omboue,GA,-1.5746,9.2618,76.89,87,100,2.3,overcast clouds
162,Sao Francisco,BR,-15.9486,-44.8644,69.44,64,60,2.08,broken clouds
163,Westport,US,41.1415,-73.3579,44.6,81,1,3.44,clear sky
164,College,US,64.8569,-147.8028,24.8,30,75,3.44,broken clouds
165,Avarua,CK,-21.2078,-159.775,82.4,78,61,6.69,broken clouds
166,Sault Sainte Marie,CA,46.5168,-84.3333,39.2,93,90,4.61,fog
167,North Battleford,CA,52.7834,-108.2847,30.2,80,90,18.41,light snow
168,Urumqi,CN,43.801,87.6005,39.2,65,93,6.71,smoke
169,Goundam,ML,16.4145,-3.6708,76.19,18,22,11.54,few clouds
170,Whitehorse,CA,60.7161,-135.0538,19.99,49,20,2.3,few clouds
171,San Patricio,US,28.017,-97.5169,70.0,83,90,23.02,overcast clouds
172,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.9,91,0,6.82,clear sky
173,Saldanha,ZA,-33.0117,17.9442,69.8,52,0,3.44,clear sky
174,Qaqortoq,GL,60.7167,-46.0333,15.8,53,75,5.75,broken clouds
175,Ugoofaaru,MV,5.6667,73.0,83.34,72,7,5.68,clear sky
176,Muswellbrook,AU,-32.2667,150.9,64.76,98,100,1.43,overcast clouds
177,Karratha,AU,-20.7377,116.8463,89.87,41,3,8.21,clear sky
178,Mpanda,TZ,-6.3655,31.0409,63.77,98,87,4.41,light rain
179,Tual,ID,-5.6667,132.75,84.16,68,92,2.17,overcast clouds
180,Sitka,US,57.0531,-135.33,39.2,81,90,5.75,overcast clouds
181,Kautokeino,NO,69.0125,23.0412,28.89,81,100,17.18,overcast clouds
182,Marawi,PH,7.9986,124.2928,82.99,77,37,4.0,scattered clouds
183,Coihaique,CL,-45.5752,-72.0662,53.6,76,75,3.44,broken clouds
184,Srednekolymsk,RU,67.45,153.6833,9.12,92,100,15.26,light snow
185,Rio Grande,BR,-32.035,-52.0986,72.0,80,100,8.37,overcast clouds
186,Saint-Georges,GD,12.0564,-61.7485,80.6,74,20,23.02,few clouds
187,Lagoa,PT,39.05,-27.9833,55.58,74,100,21.94,overcast clouds
188,Hofn,IS,64.2539,-15.2082,37.69,71,100,19.98,overcast clouds
189,Beyneu,KZ,45.3167,55.2,34.21,79,9,9.44,clear sky
190,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,74.21,53,70,2.75,broken clouds
191,Moose Factory,CA,51.2585,-80.6094,28.4,93,1,3.44,clear sky
192,Basco,PH,20.4487,121.9702,71.94,74,100,27.02,overcast clouds
193,Samarai,PG,-10.6167,150.6667,85.01,71,51,3.78,broken clouds
194,Hasaki,JP,35.7333,140.8333,59.0,33,20,6.91,few clouds
195,Isangel,VU,-19.55,169.2667,84.2,65,75,11.5,broken clouds
196,Karla,EE,59.3723,24.9275,26.01,93,40,3.44,fog
197,Honiara,SB,-9.4333,159.95,86.14,69,68,5.48,broken clouds
198,Dickinson,US,29.4608,-95.0513,69.01,94,75,13.8,broken clouds
199,Mahebourg,MU,-20.4081,57.7,75.2,94,40,5.75,scattered clouds
200,Aasiaat,GL,68.7098,-52.8699,-7.01,94,100,17.76,overcast clouds
201,Qianan,CN,44.9932,124.0581,52.59,36,99,10.09,overcast clouds
202,Dongsheng,CN,39.8161,109.9776,48.36,24,15,10.0,few clouds
203,Poronaysk,RU,49.2167,143.1167,32.7,88,3,10.6,clear sky
204,Saint-Louis,SN,16.3333,-15.0,69.03,35,69,10.4,broken clouds
205,Hithadhoo,MV,-0.6,73.0833,83.35,69,7,7.76,clear sky
206,Bingol,TR,38.8847,40.4939,44.94,90,98,1.79,overcast clouds
207,San Rafael,AR,-34.6177,-68.3301,66.76,52,0,9.35,clear sky
208,Chuy,UY,-33.6971,-53.4616,66.96,72,94,5.17,overcast clouds
209,Mount Isa,AU,-20.7333,139.5,91.4,43,75,9.22,broken clouds
210,Norsup,VU,-16.0667,167.3833,82.13,73,28,2.42,scattered clouds
211,Kalabo,ZM,-14.97,22.6814,65.43,88,10,5.12,clear sky
212,Sabha,LY,27.0377,14.4283,49.87,62,39,5.88,scattered clouds
213,Comodoro Rivadavia,AR,-45.8667,-67.5,69.8,43,0,14.97,clear sky
214,Jacqueville,CI,5.2052,-4.4146,78.8,89,20,3.44,few clouds
215,Alta Floresta,BR,-9.8756,-56.0861,69.4,96,93,3.42,overcast clouds
216,Quarai,BR,-30.3875,-56.4514,68.68,88,99,7.05,overcast clouds
217,Alofi,NU,-19.0595,-169.9187,86.0,79,75,11.5,broken clouds
218,Kabinda,CD,-6.1333,24.4833,64.38,96,99,2.1,overcast clouds
219,At-Bashi,KG,41.1702,75.8106,31.12,69,96,2.55,overcast clouds
220,Lodja,CD,-3.4833,23.4333,65.84,99,41,0.96,scattered clouds
221,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,5.75,clear sky
222,Creel,MX,27.75,-107.6333,35.98,18,50,7.52,scattered clouds
223,Cabo San Lucas,MX,22.8909,-109.9124,69.01,60,40,6.91,scattered clouds
224,Shingu,JP,33.7333,135.9833,53.6,47,20,9.22,few clouds
225,Ancud,CL,-41.8697,-73.8203,52.0,93,20,3.44,few clouds
226,Qaanaaq,GL,77.484,-69.3632,-17.88,68,62,6.58,broken clouds
227,Tuatapere,NZ,-46.1333,167.6833,57.0,92,95,5.99,overcast clouds
228,Sao Mateus,BR,-18.7161,-39.8589,72.63,92,0,1.7,clear sky
229,Imbituba,BR,-28.24,-48.6703,73.4,94,75,10.36,broken clouds
230,Ocumare Del Tuy,VE,10.1165,-66.7761,78.8,73,20,2.3,few clouds
231,Saint George,US,37.1041,-113.5841,57.2,21,1,8.05,clear sky
232,Kavieng,PG,-2.5744,150.7967,81.88,79,99,13.58,light rain
233,Micheweni,TZ,-4.9667,39.8333,81.45,74,54,5.68,broken clouds
234,Biskamzha,RU,53.4497,89.5272,33.44,83,91,9.69,overcast clouds
235,Santiago Del Estero,AR,-27.7951,-64.2615,63.48,82,44,4.72,scattered clouds
236,Yurla,RU,59.3259,54.3223,23.38,95,100,6.04,overcast clouds
237,Lazaro Cardenas,MX,17.9583,-102.2,73.13,64,0,4.38,clear sky
238,Caldas Novas,BR,-17.7417,-48.625,66.09,77,85,1.74,overcast clouds
239,Saint Anthony,US,45.0205,-93.218,53.6,32,1,4.61,clear sky
240,Camalu,MX,30.85,-116.0667,55.0,51,0,4.0,clear sky
241,Frederiksvaerk,DK,55.9707,12.0225,41.0,100,100,1.99,overcast clouds
242,Nikolskoye,RU,59.7035,30.7861,19.4,79,0,4.47,clear sky
243,Riyadh,SA,24.6877,46.7219,73.4,18,0,5.75,clear sky
244,Cuamba,MZ,-14.8031,36.5372,67.46,98,97,1.79,light rain
245,Grand Gaube,MU,-20.0064,57.6608,77.0,88,68,5.01,broken clouds
246,Taltal,CL,-25.4,-70.4833,67.03,78,4,0.65,clear sky
247,Villazon,BO,-22.0866,-65.5942,50.43,79,100,4.85,overcast clouds
248,Provideniya,RU,64.3833,-173.3,6.8,61,0,4.47,clear sky
249,Talnakh,RU,69.4865,88.3972,5.99,93,100,10.27,light snow
250,Ilhabela,BR,-23.7781,-45.3581,76.51,84,72,2.77,broken clouds
251,Tiksi,RU,71.6872,128.8694,-16.04,96,100,6.98,overcast clouds
