City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dabrowa Tarnowska,100,PL,2021-03-23 02:46:07,70,50.1746,20.9863,34.0,7.94
1,Bethel,1,US,2021-03-23 02:42:33,53,41.3712,-73.414,46.4,3.44
2,Bredasdorp,11,ZA,2021-03-23 02:46:08,72,-34.5322,20.0403,66.2,13.8
3,Clyde River,20,CA,2021-03-23 02:46:08,69,70.4692,-68.5914,-22.0,16.11
4,Olafsvik,100,IS,2021-03-23 02:46:08,67,64.8945,-23.7142,36.12,27.51
5,Arauca,70,CO,2021-03-23 02:46:09,62,7.0847,-70.7591,79.05,2.04
6,Codrington,98,AU,2021-03-23 02:46:09,76,-38.2667,141.9667,68.04,6.91
7,Punta Arenas,75,CL,2021-03-23 02:46:09,71,-53.15,-70.9167,50.0,4.61
8,Norman Wells,20,CA,2021-03-23 02:46:10,65,65.282,-126.8329,-2.2,8.05
9,Rikitea,8,PF,2021-03-23 02:46:10,73,-23.1203,-134.9692,80.11,11.52
10,Nikolskoye,0,RU,2021-03-23 02:46:11,79,59.7035,30.7861,19.4,4.47
11,Yellowknife,20,CA,2021-03-23 02:45:02,54,62.456,-114.3525,-5.01,8.05
12,Rojhan,0,PK,2021-03-23 02:46:11,65,28.6868,69.9534,64.78,7.81
13,Diego De Almagro,0,CL,2021-03-23 02:46:11,49,-26.3667,-70.05,63.14,0.49
14,Hilo,90,US,2021-03-23 02:41:28,83,19.7297,-155.09,71.6,5.75
15,Grindavik,40,IS,2021-03-23 02:46:12,80,63.8424,-22.4338,33.8,25.32
16,Nioki,99,CD,2021-03-23 02:46:12,98,-2.7167,17.6833,69.51,0.96
17,Saldanha,0,ZA,2021-03-23 02:46:13,52,-33.0117,17.9442,69.8,3.44
18,Cabo San Lucas,40,MX,2021-03-23 02:46:13,60,22.8909,-109.9124,69.01,6.91
19,Fairbanks,1,US,2021-03-23 02:46:13,36,64.8378,-147.7164,24.8,6.91
20,Sokolo,59,ML,2021-03-23 02:46:14,15,14.7328,-6.1219,83.26,11.3
21,Raga,100,SS,2021-03-23 02:46:14,69,8.4596,25.678,74.98,4.74
22,Mahibadhoo,97,MV,2021-03-23 02:46:14,71,3.7833,72.9667,82.74,3.47
23,Verkhnyaya Inta,100,RU,2021-03-23 02:46:15,95,65.9811,60.3094,22.69,7.92
24,Touros,20,BR,2021-03-23 02:46:15,94,-5.1989,-35.4608,77.0,3.44
25,Ipueiras,90,BR,2021-03-23 02:43:19,83,-7.0333,-40.45,68.95,3.74
26,Mahebourg,40,MU,2021-03-23 02:46:16,94,-20.4081,57.7,75.2,5.75
27,Egvekinot,83,RU,2021-03-23 02:46:16,97,66.3167,-179.1667,-10.34,3.56
28,Vaini,75,TO,2021-03-23 02:46:17,83,-21.2,-175.2,80.6,6.91
29,Chokurdakh,90,RU,2021-03-23 02:46:17,89,70.6333,147.9167,-8.9,9.64
30,Araouane,9,ML,2021-03-23 02:46:17,15,18.9048,-3.5265,68.11,11.3
31,Qui Nhon,37,VN,2021-03-23 02:46:18,81,13.7667,109.2333,77.92,19.55
32,Ilulissat,75,GL,2021-03-23 02:46:18,71,69.2167,-51.1,-0.4,11.5
33,Atuona,3,PF,2021-03-23 02:46:19,77,-9.8,-139.0333,80.62,18.37
34,Hobart,40,AU,2021-03-23 02:46:19,46,-42.8794,147.3294,75.2,13.8
35,Kodiak,90,US,2021-03-23 02:46:19,80,57.79,-152.4072,33.8,6.91
36,Tuktoyaktuk,1,CA,2021-03-23 02:46:20,84,69.4541,-133.0374,-9.4,14.97
37,Petropavlovsk-Kamchatskiy,75,RU,2021-03-23 02:44:33,74,53.0452,158.6483,32.0,13.42
38,Pisco,0,PE,2021-03-23 02:46:20,78,-13.7,-76.2167,69.8,13.8
39,Ushuaia,20,AR,2021-03-23 02:45:18,66,-54.8,-68.3,50.0,4.61
